family,episode_id,sample_index,timestamp_s,selected_action,step_index,constraint,pre,post,removed,added,collapse_source
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,588,58.907700000000006,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,588,58.907700000000006,WAIT,3,bc_recurrent_escape,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,648,64.9017,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,648,64.9017,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,673,67.3659,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,673,67.3659,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,683,68.3649,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,683,68.3649,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,693,69.3639,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,693,69.3639,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
